0,0,79
0,1,88
0,2,90
0,3,93
0,4,98
0,5,100
0,6,105
0,7,109
0,8,114
0,9,118
0,10,124
0,11,130
0,12,135
0,13,139
0,14,144
0,15,148
0,16,153
0,17,158
0,18,163
0,19,167
0,20,172
0,21,176
0,22,181
0,23,186
0,24,190
0,25,194
0,26,199
0,27,203
0,28,206
0,29,210
0,30,215
0,31,217
0,32,220
0,33,223
0,34,224
0,35,223
0,36,221
0,37,218
0,38,213
0,39,209
0,40,205
0,41,200
0,42,195
0,43,191
0,44,185
0,45,180
0,46,175
0,47,170
0,48,165
0,49,161
0,50,157
0,51,154
0,52,151
0,53,150
0,54,151
0,55,153
0,56,154
0,57,156
0,58,159
0,59,161
0,60,163
0,61,166
0,62,169
0,63,170
0,64,173
0,65,174
0,66,176
0,67,178
0,68,178
0,69,175
0,70,172
0,71,169
0,72,163
0,73,162
0,74,158
0,75,153
0,76,148
0,77,143
0,78,138
0,79,134
0,80,128
0,81,123
0,82,117
0,83,112
0,84,107
0,85,102
0,86,97
0,87,90
0,88,85
0,89,79
0,90,74
0,91,69
0,92,64
0,93,59
0,94,55
0,95,50
0,96,47
0,97,43
0,98,40
1,0,79
1,1,88
1,2,90
1,3,93
1,4,98
1,5,101
1,6,105
1,7,109
1,8,114
1,9,118
1,10,124
1,11,130
1,12,135
1,13,139
1,14,144
1,15,148
1,16,153
1,17,158
1,18,163
1,19,167
1,20,172
1,21,176
1,22,181
1,23,186
1,24,191
1,25,195
1,26,199
1,27,203
1,28,206
1,29,210
1,30,215
1,31,217
1,32,220
1,33,223
1,34,224
1,35,223
1,36,221
1,37,218
1,38,213
1,39,209
1,40,205
1,41,200
1,42,195
1,43,191
1,44,185
1,45,180
1,46,175
1,47,170
1,48,165
1,49,161
1,50,157
1,51,153
1,52,151
1,53,150
1,54,151
1,55,153
1,56,154
1,57,156
1,58,159
1,59,161
1,60,164
1,61,166
1,62,169
1,63,171
1,64,173
1,65,174
1,66,176
1,67,178
1,68,178
1,69,175
1,70,172
1,71,169
1,72,163
1,73,162
1,74,158
1,75,153
1,76,148
1,77,143
1,78,138
1,79,134
1,80,128
1,81,123
1,82,117
1,83,112
1,84,107
1,85,102
1,86,97
1,87,90
1,88,85
1,89,79
1,90,74
1,91,69
1,92,64
1,93,59
1,94,54
1,95,50
1,96,47
1,97,43
1,98,40
2,0,79
2,1,88
2,2,90
2,3,93
2,4,98
2,5,101
2,6,106
2,7,110
2,8,114
2,9,118
2,10,124
2,11,130
2,12,134
2,13,139
2,14,144
2,15,148
2,16,153
2,17,158
2,18,163
2,19,167
2,20,172
2,21,176
2,22,181
2,23,186
2,24,191
2,25,195
2,26,200
2,27,203
2,28,206
2,29,210
2,30,214
